Date,China (SSE Composite Index),France (CAC 40),UK (FTSE 100),Germany (DAX),US (S&P 500),Canada (S&P/TSX Composite),Korea (KOSPI),Japan (Nikkei 225),India (Nifty 50)
2023-11-15,3064.345947265625,7198.91015625,7440.5,15628.1904296875,4495.31005859375,20035.400390625,2468.429931640625,33096.9296875,19579.650390625
2023-11-16,3050.926025390625,7168.39990234375,7409.39990234375,15783.509765625,4487.830078125,19969.900390625,2472.68994140625,33233.83984375,19627.0
2023-11-17,3033.75,7196.68994140625,7410.0,15826.669921875,4499.66015625,20096.5,2463.590087890625,33263.671875,19667.44921875
2023-11-20,3043.514892578125,7236.02001953125,7472.7001953125,15854.8203125,4510.35986328125,20125.900390625,2464.0400390625,33352.69140625,19670.5
2023-11-21,3063.344970703125,7214.39013671875,7446.7001953125,15891.3095703125,4525.509765625,20104.30078125,2500.909912109375,33254.73046875,19754.05078125
2023-11-22,3043.611083984375,7243.830078125,7452.0,15931.740234375,4545.0498046875,20048.900390625,2490.429931640625,33182.98828125,19703.849609375
2023-11-24,3037.200927734375,7268.580078125,7450.10009765625,15972.669921875,4552.7998046875,20070.5,2496.6298828125,33622.5703125,19768.849609375
2023-11-28,3020.22998046875,7213.740234375,7403.2998046875,15915.400390625,4540.509765625,19918.5,2502.260009765625,33298.0390625,19800.0
2023-11-29,3017.660888671875,7241.41015625,7408.7998046875,16010.48046875,4547.14990234375,20042.69921875,2501.43994140625,33179.0703125,19956.30078125
2023-11-30,3013.76806640625,7255.0400390625,7387.10009765625,16169.1103515625,4537.240234375,20107.30078125,2507.800048828125,33161.0703125,20015.849609375
2023-12-01,3010.23291015625,7313.18994140625,7453.7998046875,16279.4501953125,4554.7099609375,20154.900390625,2504.06005859375,33397.421875,20183.69921875
2023-12-04,3022.347900390625,7313.7099609375,7476.89990234375,16386.80078125,4546.72021484375,20341.400390625,2510.52001953125,33023.0390625,20507.75
2023-12-05,2972.2958984375,7320.490234375,7460.2001953125,16394.01953125,4551.68017578125,20361.19921875,2492.550048828125,32726.6796875,20711.150390625
2023-12-06,2959.60302734375,7384.990234375,7486.7998046875,16536.119140625,4546.5,20271.599609375,2495.3798828125,32914.08984375,20852.150390625
2023-12-07,2949.14404296875,7415.66015625,7480.5,16595.109375,4565.22021484375,20236.5,2481.0,32814.69140625,20850.80078125
2023-12-08,2962.326904296875,7437.97021484375,7509.7998046875,16630.1796875,4574.06005859375,20265.80078125,2507.139892578125,32205.380859375,20862.69921875
2023-12-11,2930.422119140625,7527.580078125,7493.60009765625,16734.26953125,4593.39013671875,20209.30078125,2512.449951171875,32650.099609375,20923.69921875
2023-12-12,2980.446044921875,7542.52978515625,7542.39990234375,16753.810546875,4608.08984375,20162.099609375,2529.739990234375,32800.23828125,20867.150390625
2023-12-13,2968.760986328125,7529.10986328125,7542.7001953125,16760.119140625,4643.22998046875,20125.099609375,2509.889892578125,32864.37890625,20769.5
2023-12-14,2958.06591796875,7547.0,7548.39990234375,16670.349609375,4694.33984375,20682.099609375,2532.159912109375,32515.0390625,21074.44921875
2023-12-15,2940.027099609375,7587.68017578125,7569.0,16713.69921875,4704.68994140625,20499.5,2555.300048828125,32732.66015625,21235.30078125
2023-12-18,2924.330078125,7548.18017578125,7557.2001953125,16624.650390625,4725.580078125,20543.80078125,2556.050048828125,32541.23046875,21365.349609375
2023-12-19,2914.125,7553.080078125,7605.39990234375,16656.640625,4743.72021484375,20651.69921875,2556.52001953125,32654.4296875,21337.75
2023-12-20,2902.0400390625,7552.2900390625,7637.89990234375,16694.560546875,4697.81982421875,20598.599609375,2584.85009765625,33467.3203125,21087.349609375
2023-12-21,2882.02001953125,7537.81005859375,7668.39990234375,16624.16015625,4708.35009765625,20663.69921875,2587.159912109375,33097.7890625,20976.80078125
2023-12-22,2906.509033203125,7557.580078125,7676.39990234375,16651.779296875,4736.77001953125,20796.900390625,2599.510009765625,33151.69921875,21232.44921875
2023-12-27,2890.1650390625,7560.5400390625,7697.5,16697.580078125,4768.89990234375,20879.0,2590.080078125,33521.51953125,21495.80078125
2023-12-28,2909.388916015625,7531.7099609375,7708.7001953125,16688.51953125,4780.97998046875,20914.5,2611.719970703125,33411.23828125,21678.0
2024-01-04,2936.635009765625,7410.18017578125,7678.7998046875,16501.400390625,4687.52978515625,20793.599609375,2580.090087890625,32693.1796875,21564.55078125
2024-01-05,2916.719970703125,7350.2998046875,7642.89990234375,16448.7109375,4682.10986328125,20839.30078125,2572.60009765625,33257.4296875,21629.19921875
2024-01-09,2878.409912109375,7400.6201171875,7675.10009765625,16611.529296875,4730.35009765625,20880.400390625,2556.0,33600.3203125,21517.849609375
2024-01-10,2870.416015625,7409.52978515625,7647.39990234375,16654.990234375,4756.2001953125,20965.0,2539.820068359375,33885.73828125,21448.650390625
2024-01-11,2867.721923828125,7382.8798828125,7576.60009765625,16541.380859375,4739.580078125,20773.099609375,2540.27001953125,34849.5703125,21593.75
2024-01-12,2878.875,7408.4599609375,7576.60009765625,16608.0,4768.97998046875,20957.19921875,2517.760009765625,35362.23828125,21715.150390625
2024-01-16,2861.1298828125,7343.52001953125,7538.89990234375,16476.08984375,4747.1201171875,20843.0,2491.1298828125,35587.53125,21969.80078125
2024-01-17,2833.614990234375,7281.10009765625,7404.10009765625,16345.01953125,4714.81982421875,20594.19921875,2435.340087890625,35476.51953125,21550.44921875
2024-01-18,2760.97998046875,7326.4501953125,7426.60009765625,16421.19921875,4740.56982421875,20659.0,2429.1201171875,35371.25,21285.55078125
2024-01-19,2822.843017578125,7350.68017578125,7450.89990234375,16513.4609375,4785.8701171875,20676.5,2455.5,35790.0703125,21575.0
2024-01-23,2724.156982421875,7373.22021484375,7465.10009765625,16626.58984375,4844.3701171875,20939.599609375,2464.239990234375,36436.0703125,21192.599609375
2024-01-24,2743.39697265625,7403.8701171875,7485.7001953125,16760.919921875,4865.93994140625,21019.400390625,2454.340087890625,36104.890625,21137.19921875
2024-01-25,2821.708984375,7410.89013671875,7507.0,16785.689453125,4869.33984375,21021.80078125,2452.360107421875,35912.5390625,21247.05078125
2024-01-29,2883.330078125,7620.52978515625,7630.7998046875,16860.05078125,4887.39990234375,21015.0,2483.81005859375,35813.76953125,21429.599609375
2024-01-30,2829.25,7644.72998046875,7632.7001953125,16946.560546875,4916.27001953125,21104.0,2498.81005859375,36039.30859375,21501.80078125
2024-01-31,2782.5869140625,7653.4501953125,7630.60009765625,16884.869140625,4845.14990234375,21014.19921875,2486.969970703125,35704.578125,21448.849609375
2024-02-01,2752.781982421875,7570.06982421875,7607.89990234375,16821.599609375,4853.52001953125,20980.900390625,2491.929931640625,35924.6015625,21658.75
2024-02-02,2666.333984375,7588.5,7609.2998046875,16894.669921875,4907.990234375,20943.099609375,2559.389892578125,36083.609375,21805.55078125
2024-02-05,2635.090087890625,7558.22998046875,7598.7001953125,16859.0,4918.08984375,20825.599609375,2562.5,36213.0,21726.94921875
2024-02-06,2669.673095703125,7592.08984375,7612.89990234375,16871.3203125,4934.8798828125,20869.599609375,2563.8701171875,36065.98046875,21737.55078125
2024-02-07,2770.529052734375,7610.18017578125,7626.2001953125,16907.150390625,4969.0498046875,20900.900390625,2588.090087890625,35854.62890625,21860.150390625
2024-02-08,2827.902099609375,7607.4599609375,7593.60009765625,16889.130859375,4987.08984375,20794.599609375,2610.2099609375,36206.19921875,21665.30078125
2024-02-20,2887.47412109375,7757.490234375,7706.0,17019.150390625,4955.02001953125,21183.5,2643.929931640625,38288.0390625,22045.849609375
2024-02-21,2898.050048828125,7788.68017578125,7642.7998046875,17063.25,4946.0,21100.69921875,2644.0400390625,38095.1484375,21997.94921875
2024-02-22,2944.4990234375,7855.009765625,7651.7001953125,17279.73046875,5038.830078125,21260.0,2653.989990234375,38508.0703125,21875.25
2024-02-26,2967.056884765625,7922.89013671875,7676.7998046875,17396.400390625,5068.91015625,21300.80078125,2629.780029296875,39181.03125,22075.150390625
2024-02-27,2961.14794921875,7917.080078125,7669.7001953125,17428.169921875,5057.2900390625,21264.5,2619.3798828125,39113.03125,22085.650390625
2024-02-28,2957.85205078125,7931.669921875,7620.39990234375,17552.98046875,5058.35009765625,21239.900390625,2623.14990234375,39075.46875,21915.849609375
2024-02-29,2943.6240234375,7927.43017578125,7622.89990234375,17620.109375,5061.89013671875,21287.099609375,2628.6201171875,38876.80859375,21860.650390625
2024-03-04,3007.68310546875,7916.7099609375,7623.2001953125,17684.73046875,5127.18017578125,21491.30078125,2662.320068359375,40001.55078125,22358.30078125
2024-03-05,3022.177978515625,7923.7099609375,7598.5,17643.109375,5056.81982421875,21489.69921875,2649.35009765625,39840.33984375,22269.150390625
2024-03-06,3034.35400390625,7919.3701171875,7639.0,17682.509765625,5092.22021484375,21546.599609375,2630.159912109375,39769.0390625,22224.349609375
2024-03-07,3023.117919921875,7905.41015625,7645.10009765625,17619.400390625,5128.2099609375,21629.099609375,2633.570068359375,39518.3984375,22430.0
2024-03-11,3035.445068359375,7984.06005859375,7612.60009765625,17662.55078125,5091.14013671875,21633.900390625,2658.739990234375,38496.66015625,22307.25
2024-03-12,3044.85693359375,8000.22998046875,7669.2001953125,17746.890625,5114.47998046875,21716.400390625,2659.719970703125,38271.37890625,22256.0
2024-03-13,3031.89892578125,8090.31005859375,7738.7001953125,17939.560546875,5151.8798828125,21838.099609375,2679.5400390625,38452.5703125,21905.650390625
2024-03-14,3020.636962890625,8153.68994140625,7719.10009765625,17899.9296875,5123.2998046875,21737.5,2696.31005859375,38400.171875,21917.5
2024-03-15,3023.215087890625,8155.68994140625,7727.39990234375,17926.720703125,5104.35009765625,21788.69921875,2666.840087890625,38519.94140625,21931.69921875
2024-03-18,3055.922119140625,8134.14013671875,7714.89990234375,17902.919921875,5145.47021484375,21810.400390625,2665.280029296875,38935.46875,21916.55078125
2024-03-19,3062.6279296875,8140.60009765625,7699.60009765625,17914.1796875,5131.58984375,21832.69921875,2645.139892578125,39407.5,21793.099609375
2024-03-21,3069.27197265625,8139.52001953125,7737.39990234375,18019.859375,5240.66015625,22063.099609375,2724.25,40452.19140625,21941.30078125
2024-03-22,3027.761962890625,8129.169921875,7882.2001953125,18140.990234375,5229.8701171875,21965.0,2738.179931640625,40714.140625,21883.30078125
2024-03-26,3006.260009765625,8136.64013671875,7892.10009765625,18256.810546875,5203.419921875,21906.19921875,2752.27001953125,40280.8515625,21947.55078125
2024-03-27,2993.138916015625,8174.259765625,7893.0,18385.169921875,5213.919921875,21953.5,2745.0,40452.2109375,22052.849609375
2024-03-28,2984.1201171875,8205.8095703125,7931.39990234375,18468.869140625,5245.81982421875,22126.0,2742.679931640625,40054.05859375,22163.599609375
2024-04-02,3063.98095703125,8121.39013671875,7928.60009765625,18275.939453125,5184.0498046875,21996.900390625,2737.18994140625,39707.87109375,22388.150390625
2024-04-03,3057.39697265625,8120.9501953125,7882.7001953125,18281.8203125,5194.3701171875,22062.69921875,2706.969970703125,39217.0390625,22346.5
2024-04-08,3045.468994140625,8049.509765625,7887.89990234375,18163.390625,5197.35009765625,22178.69921875,2706.739990234375,39197.0,22550.349609375
2024-04-09,3033.208984375,8032.27001953125,7917.5,18058.220703125,5160.77978515625,22168.599609375,2703.9599609375,39476.12890625,22612.25
2024-04-12,3014.830078125,7980.39013671875,7923.7998046875,17860.73046875,5107.93994140625,21827.400390625,2678.2099609375,39457.73046875,22503.75
2024-04-15,2995.5419921875,8028.83984375,7952.10009765625,17937.619140625,5052.47021484375,21678.599609375,2641.159912109375,38820.94921875,22259.55078125
2024-04-16,3005.340087890625,7899.35986328125,7793.89990234375,17713.5,5039.830078125,21536.099609375,2601.449951171875,38322.3203125,22079.44921875
2024-04-18,3057.760986328125,7976.39990234375,7845.89990234375,17716.919921875,5001.89013671875,21601.599609375,2593.260009765625,37644.91015625,21961.69921875
2024-04-19,3055.05810546875,7946.83984375,7809.7001953125,17626.900390625,4953.56005859375,21679.80078125,2553.550048828125,36733.05859375,21777.650390625
2024-04-22,3042.5419921875,8007.4501953125,7895.89990234375,17738.0390625,4969.39990234375,21733.80078125,2604.3701171875,37052.62890625,22198.150390625
2024-04-23,3016.51708984375,8052.56982421875,8021.7001953125,17861.19921875,5027.9599609375,21854.19921875,2619.719970703125,37397.26953125,22349.44921875
2024-04-24,3019.1240234375,8078.77001953125,8031.7998046875,18060.259765625,5047.02001953125,21796.900390625,2662.840087890625,37857.46875,22384.0
